YTID,start_seconds,end_seconds,positive_labels,label_description
--cB2ZVjpnA,30.0,40.0,/m/01y3hg,smoke_alarm
-0mjrMposBM,80.0,90.0,/m/04zmvq,train_whistle
-2hQKCE-oTI,30.0,40.0,/m/07pbtc8,footsteps
-9ek6eO0RtI,260.0,270.0,/m/03wwcy,doorbell
-A0MTi2NMGI,30.0,40.0,/t/dd00134,car_passing_by
-ASYwidRD7M,30.0,40.0,/m/01d3sd,snoring
-DBcp6YGi6k,30.0,40.0,/t/dd00018,pig
-Dl-VzBPd9E,270.0,280.0,/m/028ght,applause
-FEPOSP7ay0,260.0,270.0,/m/0395lw,bell
-FT5MbWPCzg,540.0,550.0,/m/03w41f,bell
-GI5PbO6j50,30.0,40.0,/m/03qc9zr,screaming
-HvtS74RG8w,240.0,250.0,/m/03l9g,hammer
-IWlQN6cfe4,30.0,40.0,/m/07pbtc8,footsteps
-JfXNXGi-l8,70.0,80.0,/m/03wvsk,hair_dryer
-NwuLeOWpLk,420.0,430.0,/m/01lsmm,scissors
-ODqYMQFwsY,30.0,40.0,/t/dd00134,car_passing_by
-QSNQGKiGT4,260.0,270.0,/m/03qc9zr,screaming
-TJe1_ECCwM,6.0,16.0,/m/07pws3f,shotgun
-UbFLKplzbE,30.0,40.0,/m/01j4z9,chainsaw
-UcfsxiD_ns,340.0,350.0,/m/0llzx,sewing_machine
-VI2IRq17rs,360.0,370.0,/m/0395lw,bell
-Ypg2o4TqXM,30.0,40.0,/m/07r4wb8,knock
-Ze_xQhxKRo,30.0,40.0,/m/0j2kx,waterfall
-b_10b-orX4,50.0,60.0,/m/02_41,fire
-jMyzNbR7WM,10.0,20.0,/t/dd00134,car_passing_by
-reNxUHvEl0,7.0,17.0,/m/07r67yg,doorbell
-xyxF0ahpKk,0.0,4.0,/t/dd00134,car_passing_by
-z_3aZqUmbw,120.0,130.0,/m/0d31p,vacuum_cleaner
-zpL4Ut1clE,30.0,40.0,/m/016622,bell
0-FH0xbm4gQ,580.0,590.0,/m/02z32qm,shotgun
02aq42RDm2Q,30.0,40.0,/m/0d31p,vacuum_cleaner
02rLonMSO9k,60.0,70.0,/m/01y3hg,smoke_alarm
04RDcHpgzTM,50.0,60.0,/m/07pp8cl,telephone
06PzXIqzQXM,200.0,210.0,/m/03l9g,hammer
0AAvXso7C5c,160.0,170.0,/m/04zmvq,train_whistle
0AHA6Zz-ykw,30.0,40.0,/t/dd00134,car_passing_by
0DSVOjk2NfA,30.0,40.0,/m/01h82_,engine
0EkXQKzNjkg,30.0,40.0,/t/dd00134,car_passing_by
0EsJvIfMx0w,30.0,40.0,/m/07pbtc8,footsteps
0FHa462_1Mc,100.0,110.0,/m/02z32qm,shotgun
0Hz4R_m0hmI,80.0,90.0,/m/02mfyn,car_alarm
0KXc1iKGh7s,14.0,24.0,/m/07pbtc8,footsteps
0R8NB5yxmMk,10.0,20.0,/m/03l9g,hammer
0V7XP7n7ZTQ,160.0,170.0,/m/03v3yw,keys_jangling
0VIHkdBPImc,290.0,300.0,/m/03wvsk,hair_dryer
0XuCucHevvE,9.0,19.0,/m/0c2wf,typewriter
0ct9AETvIdE,30.0,40.0,/m/02mfyn,car_alarm
0gzJkUrw-ko,110.0,120.0,/m/01m2v,keyboard_typing
0jsCjvHoCtM,60.0,70.0,/m/07pp8cl,telephone
0l8d_NhvFwY,80.0,90.0,/m/0j2kx,waterfall
0ng703aLhXs,17.0,27.0,/m/07pp_mv,alarm
0npLQ4LzD0c,40.0,50.0,/m/02mfyn,car_alarm
0pKW6LBhKOA,30.0,40.0,/m/0fx9l,microwave_oven
0paO14gvFAk,20.0,30.0,/m/025td0t,background_music
0qCbtn--t6Q,30.0,40.0,/t/dd00134,car_passing_by
0rcgzQpsWYs,30.0,40.0,/m/02_41,fire
0y3tr-QUGY0,50.0,60.0,/m/046dlr,alarm_clock
13PjLquqF3U,440.0,450.0,/m/046dlr,alarm_clock
15q_K5r3RzU,0.0,10.0,/t/dd00001,baby_laughter
1JA4xWUWnxk,490.0,500.0,/m/07qqyl4,explosion
1JmYeNQ1jEI,20.0,30.0,/m/0d31p,vacuum_cleaner
1LHxY6b9JAU,200.0,210.0,/m/0d31p,vacuum_cleaner
1Ms9GajaUQ4,30.0,40.0,/t/dd00134,car_passing_by
1PS6X_Kg3-M,170.0,180.0,/m/07r10fb,pouring_water
1SlyRu7fIzk,330.0,340.0,/m/028ght,applause
1U7l0iDgxJ0,30.0,40.0,/m/07r4wb8,knock
1WFBllfIMPA,0.0,2.0,/m/07r4wb8,knock
1X6tPB4aoE0,440.0,450.0,/m/016622,bell
1XAFadL2YW4,30.0,40.0,/m/07r10fb,pouring_water
1_cwgiVIRJw,30.0,40.0,/m/0j2kx,waterfall
1_nOAVumWY4,0.0,10.0,/t/dd00134,car_passing_by
1alQZjvWr38,30.0,40.0,/m/01hsr_,sneeze
1c8yp4_Fji8,30.0,40.0,/m/01y3hg,smoke_alarm
1dr8P7o36lY,210.0,220.0,/m/02z32qm,shotgun
1kfvRJEsf9g,30.0,40.0,/m/07pbtc8,footsteps
1wOoCSwNHwM,50.0,60.0,/m/014yck,aircraft_engine
21L0pyts9WI,530.0,540.0,/m/01h8n0,conversation
23JEc_HTpyc,30.0,40.0,/m/0j2kx,waterfall
2CCxYT5Zgtc,20.0,30.0,/m/0d31p,vacuum_cleaner
2FjG7F5-RCY,100.0,110.0,/m/01lsmm,scissors
2FkbTil7Bqk,30.0,40.0,/t/dd00134,car_passing_by
2I74FFVzha0,40.0,50.0,/m/07pbtc8,footsteps
2JSprzuZ2GA,170.0,180.0,/m/0d31p,vacuum_cleaner
2NznKe2WaOc,30.0,40.0,/m/03qc9zr,screaming
2QrtZ4bJ4h4,20.0,30.0,/m/01w250,whistling
2VJnW7INAOI,60.0,70.0,/m/01w250,whistling
2VXL3nbUrpc,40.0,50.0,/m/0d31p,vacuum_cleaner
2XP6Q2CXB-w,500.0,510.0,/m/01h8n0,conversation
2_itHv9t7Ho,46.0,56.0,/m/01w250,whistling
2b_2jvy-qos,20.0,30.0,/t/dd00134,car_passing_by
2eAI-g3R7zM,30.0,40.0,/t/dd00134,car_passing_by
2rcRqeXnsNw,18.0,28.0,/t/dd00134,car_passing_by
2tjEckdpSW0,27.0,37.0,/t/dd00018,pig
2tuCtiO7px0,160.0,170.0,/m/06_y0by,environmental_noise
2v0Lmxftv_4,80.0,90.0,/m/03l9g,hammer
2vp14zYhSq4,20.0,30.0,/m/0j2kx,waterfall
2w2zPDq5ekE,30.0,40.0,/m/07c52,television
2w6tV5kDGWo,240.0,250.0,/m/016622,bell
2zcTgyGpens,30.0,40.0,/m/07r10fb,pouring_water
3-d24x3bPe0,23.0,33.0,/t/dd00134,car_passing_by
307uxeIpKMY,140.0,150.0,/m/03v3yw,keys_jangling
35MzLrAON3M,40.0,50.0,/m/07c52,television
385OLsVRaAU,10.0,20.0,/m/02mfyn,car_alarm
39hw3q5ylrY,80.0,90.0,/m/0fd3y,ambient_music
3ERj8It26dk,10.0,20.0,/m/03qc9zr,screaming
3Odt59FJTXg,580.0,590.0,/m/028ght,applause
3PM0O0dOCXs,30.0,40.0,/t/dd00134,car_passing_by
3SWi2UgEwY8,30.0,40.0,/m/03wvsk,hair_dryer
3U2SXSfR3hE,20.0,30.0,/g/122z_qxw,fireworks
3YzsvHJ10VY,30.0,40.0,/m/03v3yw,keys_jangling
3_14lh_jd4s,400.0,410.0,/m/03l9g,hammer
3cugy18s-PI,30.0,40.0,/m/02mfyn,car_alarm
3ibqnlzEbdk,380.0,390.0,/m/01d3sd,snoring
3ixOXsKUufM,30.0,40.0,/m/0l15bq,clapping
3j3AM4taI-U,0.0,10.0,/m/02_41,fire
3jB5rbdymUM,310.0,320.0,/m/03wvsk,hair_dryer
3kqdrh_tJ8o,30.0,40.0,/m/03wvsk,hair_dryer
3mDwT53SxZo,50.0,60.0,/m/0d31p,vacuum_cleaner
3mor5mPSYoU,7.0,17.0,/t/dd00134,car_passing_by
3oX-QGFNYTg,20.0,30.0,/m/0g6b5,fireworks
3rGHjZMdW4Y,20.0,30.0,/m/01w250,whistling
3rWuqvyN4os,8.0,18.0,/m/01y3hg,smoke_alarm
3tLz1WGqNE0,90.0,100.0,/t/dd00001,baby_laughter
413emf-N9Vo,160.0,170.0,/m/07qqyl4,explosion
41CFmUZsBr4,30.0,40.0,/m/016622,bell
42yFzSA1DFk,50.0,60.0,/m/01d3sd,snoring
44_NJFKC_9s,30.0,40.0,/m/0c2wf,typewriter
47Ef_hhiO1o,11.0,21.0,/m/0j2kx,waterfall
48RQBL9JBtY,30.0,40.0,/m/0c2wf,typewriter
49Y7Pf46cnk,260.0,270.0,/m/03wvsk,hair_dryer
49_lI0HpaDE,0.0,10.0,/m/07r4wb8,knock
4BUEj-TxY5g,0.0,10.0,/m/07pp8cl,telephone
4GylrSo5D2Y,0.0,10.0,/m/07r67yg,doorbell
4Hd_qTtDWTU,110.0,120.0,/m/01d3sd,snoring
4JQkinXVd1s,90.0,100.0,/m/06_y0by,environmental_noise
4JYJRqwqWGM,60.0,70.0,/m/0395lw,bell
4Kc-ga03dVY,210.0,220.0,/m/01lsmm,scissors
4M7jykYpnNU,0.0,10.0,/m/03cl9h,ice_cream_van
4OHZaHeTjGg,20.0,30.0,/m/01z5f,dog
4OvgouW2OyA,30.0,40.0,/m/0fx9l,microwave_oven
4RfqS6tctCM,30.0,40.0,/m/0c2wf,typewriter
4T4av1I5CNE,130.0,140.0,/m/0d31p,vacuum_cleaner
4WBJgrYLHJs,30.0,40.0,/m/01j4z9,chainsaw
4WO7FtHjWr0,360.0,370.0,/g/122z_qxw,fireworks
4Wu5YyU1j28,180.0,190.0,/m/0j2kx,waterfall
4YhvJhOA7YQ,80.0,90.0,/m/016622,bell
4ZYy180eNRI,3.0,13.0,/t/dd00134,car_passing_by
4iVZcLNzbF8,80.0,90.0,/m/06_y0by,environmental_noise
4kyWH8eWP8M,30.0,40.0,/m/0395lw,bell
4ltNEyFGYrw,30.0,40.0,/m/02z32qm,shotgun
4npJrBtnceA,280.0,290.0,/m/01lsmm,scissors
4oIp7EgT7B4,80.0,90.0,/m/0j2kx,waterfall
4p3CocaM9Mk,30.0,40.0,/m/0j2kx,waterfall
4wj5n8MOHGA,30.0,40.0,/m/0j2kx,waterfall
514PCREZ8TI,12.0,22.0,/m/01h82_,engine
5DmQYRQz2y4,70.0,80.0,/t/dd00134,car_passing_by
5FiUKC97TSo,30.0,40.0,/m/02mfyn,car_alarm
5FvDc0UBAZo,50.0,60.0,/t/dd00134,car_passing_by
5NqDdoLAUjE,30.0,40.0,/m/02_41,fire
5UDUNqwWuNs,240.0,250.0,/m/046dlr,alarm_clock
5VqrY6c-qpI,60.0,70.0,/m/07pws3f,shotgun
5WjiB-uInjY,160.0,170.0,/m/0d31p,vacuum_cleaner
5bpzZKsNDcg,30.0,40.0,/t/dd00018,pig
5cbhc17k5bw,480.0,490.0,/m/0fx9l,microwave_oven
5ibYhAoE5HI,30.0,40.0,/t/dd00134,car_passing_by
5lN_vNS5z8Y,250.0,260.0,/m/03w41f,bell
5otuWD5-Zhc,470.0,480.0,/m/03w41f,bell
5tYoOu6OsmM,80.0,90.0,/m/07sq110,laughing
5vWjl9S5EPo,30.0,40.0,/m/0j2kx,waterfall
60kn1weBK8M,310.0,320.0,/m/028ght,applause
60y9j_Dc-Xs,90.0,100.0,/m/0395lw,bell
61awfpVe49k,460.0,470.0,/m/01m2v,keyboard_typing
63bSko4WgwE,30.0,40.0,/m/07pp_mv,alarm
67m0XRgG4DU,0.0,10.0,/m/03cl9h,ice_cream_van
69ys5sgaWog,370.0,380.0,/m/028ght,applause
6J58hk6MMfE,120.0,130.0,/m/0j2kx,waterfall
6L9ihlpkB9U,10.0,20.0,/m/02z32qm,shotgun
6LDY1nbsZ2U,220.0,230.0,/m/0fd3y,ambient_music
6QAJi8OPLi4,250.0,260.0,/m/01d3sd,snoring
6R7-SJPID_I,30.0,40.0,/m/0fx9l,microwave_oven
6WiolwEwStI,530.0,540.0,/m/0d31p,vacuum_cleaner
6bGL2nBJpuE,30.0,40.0,/m/07r4wb8,knock
6c6uMuN42bk,80.0,90.0,/m/01w250,whistling
6ipDwi_KdlE,40.0,50.0,/m/01d3sd,snoring
6j76kSyiOCA,90.0,100.0,/m/014zdl,explosion
6kYZXki6D7Q,40.0,50.0,/m/03l9g,hammer
6uau40iIjC0,200.0,210.0,/m/0lyf6,breathing
6zd0ygwnsGM,30.0,40.0,/m/07pp8cl,telephone
71Jr2ieXhyI,30.0,40.0,/m/0d31p,vacuum_cleaner
782irv2y6W0,190.0,200.0,/m/03l9g,hammer
7FgIsmlsXtM,30.0,40.0,/m/03v3yw,keys_jangling
7GEiPdnqJUw,20.0,30.0,/m/0c3f7m,fire_alarm
7Leh-jVFjjg,14.0,24.0,/m/014zdl,explosion
7MbfnA1kLyQ,0.0,10.0,/m/01bjv,bus
7NVPQMMdadM,30.0,40.0,/m/0fx9l,microwave_oven
7P-1BJ1A9ME,2.0,12.0,/m/03wwcy,doorbell
7Q0yxu0ogAI,40.0,50.0,/m/0j2kx,waterfall
7bdrH_w1uqA,130.0,140.0,/m/01hsr_,sneeze
7g2YcKAGiMM,440.0,450.0,/m/01w250,whistling
7gJBTH8fa0Y,30.0,40.0,/m/0j2kx,waterfall
7jgUDd8cDXo,0.0,10.0,/m/01w250,whistling
7kSnT29G2AQ,340.0,350.0,/m/07sq110,laughing
7kXIkaDvT44,140.0,150.0,/m/0j2kx,waterfall
7o_n7rdj8Vs,0.0,10.0,/m/07qqyl4,explosion
7oxagz-I-ag,140.0,150.0,/m/03wvsk,hair_dryer
7pbZPYKcXb8,30.0,40.0,/m/01j4z9,chainsaw
7qCakj3VLW4,40.0,50.0,/m/0d31p,vacuum_cleaner
7sDj5urnUoI,60.0,70.0,/m/07sq110,laughing
7vsJm1Yw0Gc,30.0,40.0,/t/dd00134,car_passing_by
7wXfKPtFNpE,30.0,40.0,/m/0c2wf,typewriter
89QvaK9Zffc,200.0,210.0,/m/07sr1lc,screaming
8B3cEMueaDc,250.0,260.0,/m/02_41,fire
8Q3pHpuxZRg,460.0,470.0,/m/0fd3y,ambient_music
8SYLYWR47EE,30.0,40.0,/t/dd00134,car_passing_by
8YoDTfC4oqw,560.0,570.0,/m/0j2kx,waterfall
8dy0NkwIT-A,100.0,110.0,/m/03wvsk,hair_dryer
8kRkchBWPWU,19.0,29.0,/m/03v3yw,keys_jangling
8mNRc0NGZzc,160.0,170.0,/m/0c2wf,typewriter
8mrFvoLINIM,30.0,40.0,/m/0fx9l,microwave_oven
8oa7QzW-IBc,90.0,100.0,/m/014zdl,explosion
8ryifCe_sIU,20.0,30.0,/m/02_41,fire
8shbCFdh37w,10.0,20.0,/m/0j2kx,waterfall
8stTQGZ0RAw,0.0,10.0,/m/0j2kx,waterfall
8u5lBv4gHaA,40.0,50.0,/m/0j2kx,waterfall
8wpzhcVh5wM,28.0,38.0,/t/dd00018,pig
8yRROnG0-lA,30.0,40.0,/t/dd00134,car_passing_by
8ySFFOeBGEs,30.0,40.0,/m/01j4z9,chainsaw
94Y_QnedxB8,11.0,21.0,/m/0c2wf,typewriter
96zsAM96ywU,40.0,50.0,/m/01h82_,engine
9CCRS3MCwXI,30.0,40.0,/m/02_41,fire
9EsNtRXnYbE,30.0,40.0,/t/dd00134,car_passing_by
9KOVeB4rAQY,240.0,250.0,/m/01w250,whistling
9Kdg5U8AXrQ,280.0,290.0,/m/028ght,applause
9Pd12SkMum4,100.0,110.0,/m/02_41,fire
9S1BddmLYMA,60.0,70.0,/m/01hsr_,sneeze
9VJL-ktypNw,0.0,6.0,/m/03wwcy,doorbell
9WAK0ufttVQ,40.0,50.0,/m/03wvsk,hair_dryer
9ZBR-dTCPrg,80.0,90.0,/m/03qc9zr,screaming
9bEc6mhrnLI,400.0,410.0,/m/03qc9zr,screaming
9bIchzOP8PA,20.0,30.0,/m/01w250,whistling
9hJigrKndKw,30.0,40.0,/m/0fx9l,microwave_oven
9o0Dg9GhEx8,490.0,500.0,/m/02z32qm,shotgun
9qD1Q8z8MFQ,30.0,40.0,/m/01w250,whistling
9sa_1TmY588,200.0,210.0,/m/0j2kx,waterfall
9xO4zF1fJgA,30.0,40.0,/m/028ght,applause
A-0Ay8G48wo,180.0,190.0,/m/03l9g,hammer
A-E7TsAkUT4,15.0,25.0,/m/01hsr_,sneeze
A1ak2lKtjTk,30.0,40.0,/m/016622,bell
A3Li869kKPU,30.0,40.0,/m/03l9g,hammer
A437a4Y_xag,230.0,240.0,/m/02mfyn,car_alarm
A4sXDN1fHLo,30.0,40.0,/m/03l9g,hammer
A5orLtocLMA,27.0,37.0,/m/0d31p,vacuum_cleaner
A7F5i0yASIw,350.0,360.0,/m/03l9g,hammer
A7v7zrZZEjA,10.0,20.0,/m/09ct_,helicopter
A8sju2x5nhE,340.0,350.0,/m/01w250,whistling
ABrN6IY_pfE,180.0,190.0,/m/0d31p,vacuum_cleaner
ACWbGbxw88g,150.0,160.0,/m/01m2v,keyboard_typing
AFY3Mn_j0e8,30.0,40.0,/m/02mfyn,car_alarm
AK0aZ--9C6g,30.0,40.0,/m/07r4wb8,knock
AKMuR1-yWAc,420.0,430.0,/m/01h8n0,conversation
AKNRlnISKmo,12.0,22.0,/m/0d31p,vacuum_cleaner
ANNgKbPavbY,480.0,490.0,/m/03wvsk,hair_dryer
AUcEDg2iJWg,20.0,30.0,/m/0d31p,vacuum_cleaner
AVIplOV78Rw,50.0,60.0,/m/0g6b5,fireworks
Ad7eEJyLcyw,30.0,40.0,/m/016622,bell
AdTSpfTB0C8,190.0,200.0,/m/02mfyn,car_alarm
AeLvUayUxy0,0.0,10.0,/m/0j2kx,waterfall
Agi5ySKb1tY,23.7,33.7,/m/0c2wf,typewriter
AmP1CbovFcs,230.0,240.0,/m/046dlr,alarm_clock
ApJA85gwNFo,30.0,40.0,/m/0l15bq,clapping
ArBDKeED_xA,70.0,80.0,/m/0d31p,vacuum_cleaner
Aty2HP9Zr7g,30.0,40.0,/m/01j4z9,chainsaw
Au32Qi1j8Z0,210.0,220.0,/m/04zmvq,train_whistle
AzZsdF3nf9g,30.0,40.0,/m/09ct_,helicopter
B-XS7rGmG0o,30.0,40.0,/m/0l15bq,clapping
B27Rhx0m4dw,0.0,10.0,/m/01w250,whistling
B4k036R3wQE,18.0,28.0,/m/01y3hg,smoke_alarm
B8vWu_8foaA,30.0,40.0,/m/01b82r,hand_saw
BBHrgydyuW0,30.0,40.0,/m/03wvsk,hair_dryer
BBYIJjcxapk,30.0,40.0,/m/02mfyn,car_alarm
BEjKBSLm2fc,10.0,20.0,/m/06_y0by,environmental_noise
BFPSKB99Anw,0.0,10.0,/m/06_y0by,environmental_noise
BGag_9faOuA,7.0,17.0,/m/0912c9,car_horn
BH9nlxRHPD4,90.0,100.0,/m/0c2wf,typewriter
BHH8J89mAFQ,460.0,470.0,/m/025td0t,background_music
BHoQSFUkZvs,100.0,110.0,/m/0j2kx,waterfall
BIK1Ds79KVM,120.0,130.0,/m/0c3f7m,fire_alarm
BJ8up8BXMjg,570.0,580.0,/m/03wwcy,doorbell
BLnOPA7oMxY,370.0,380.0,/m/028ght,applause
BMcKVcaBDFk,540.0,550.0,/m/01lsmm,scissors
BRK2rXjsn_s,200.0,210.0,/m/01b82r,hand_saw
BTZiBsqBMWo,250.0,260.0,/m/0d31p,vacuum_cleaner
B_hJGfaCXq8,30.0,40.0,/m/0g6b5,fireworks
Bh2dm_FYKpE,30.0,40.0,/t/dd00002,infant_cry
Bh4oxwlwQMY,86.1,96.1,/m/01y3hg,smoke_alarm
BhkX37Oj6CI,60.0,70.0,/m/02dgv,door
BmF0NaiBp0I,30.0,40.0,/m/07r10fb,pouring_water
BtkN3c-m4rE,30.0,40.0,/m/01h82_,engine
Bvxvfq5GUI4,80.0,90.0,/m/07pp_mv,alarm
ByNnZshszLM,240.0,250.0,/m/0j2kx,waterfall
BzI6PnwP1EI,80.0,90.0,/m/0j2kx,waterfall
C6hw9F5BWMI,120.0,130.0,/m/02z32qm,shotgun
C8ObS1VYVI4,30.0,40.0,/m/01b82r,hand_saw
